location,vaccine,Daily total_vaccinations,Total Vaccinations,new_date,Month,Year,Day Name,Month Name
Italy,Moderna,1146209,0,2021-04-22,4,2021,Thursday,April
Italy,Oxford/AstraZeneca,3664956,0,2021-04-22,4,2021,Thursday,April
Italy,Pfizer/BioNTech,12023115,0,2021-04-22,4,2021,Thursday,April
Italy,Johnson&Johnson,837,0,2021-04-23,4,2021,Friday,April
Italy,Moderna,1178497,0,2021-04-23,4,2021,Friday,April
Italy,Oxford/AstraZeneca,3760852,0,2021-04-23,4,2021,Friday,April
Italy,Pfizer/BioNTech,12297358,0,2021-04-23,4,2021,Friday,April
Italy,Johnson&Johnson,3867,0,2021-04-24,4,2021,Saturday,April
Italy,Moderna,1220593,0,2021-04-24,4,2021,Saturday,April
Italy,Oxford/AstraZeneca,3854064,0,2021-04-24,4,2021,Saturday,April
Italy,Pfizer/BioNTech,12544201,0,2021-04-24,4,2021,Saturday,April
Italy,Johnson&Johnson,12611,0,2021-04-25,4,2021,Sunday,April
Italy,Moderna,1252909,0,2021-04-25,4,2021,Sunday,April
Italy,Oxford/AstraZeneca,3929651,0,2021-04-25,4,2021,Sunday,April
Italy,Pfizer/BioNTech,12694711,0,2021-04-25,4,2021,Sunday,April
Italy,Johnson&Johnson,21933,0,2021-04-26,4,2021,Monday,April
Italy,Moderna,1291559,0,2021-04-26,4,2021,Monday,April
Italy,Oxford/AstraZeneca,3994224,0,2021-04-26,4,2021,Monday,April
Italy,Pfizer/BioNTech,12925842,0,2021-04-26,4,2021,Monday,April
Italy,Johnson&Johnson,29557,0,2021-04-27,4,2021,Tuesday,April
Italy,Moderna,1344270,0,2021-04-27,4,2021,Tuesday,April
Italy,Oxford/AstraZeneca,4061955,0,2021-04-27,4,2021,Tuesday,April
Italy,Pfizer/BioNTech,13167683,0,2021-04-27,4,2021,Tuesday,April
Italy,Johnson&Johnson,37467,0,2021-04-28,4,2021,Wednesday,April
Italy,Moderna,1398328,0,2021-04-28,4,2021,Wednesday,April
Italy,Oxford/AstraZeneca,4138853,0,2021-04-28,4,2021,Wednesday,April
Italy,Pfizer/BioNTech,13435279,0,2021-04-28,4,2021,Wednesday,April
Italy,Johnson&Johnson,47385,0,2021-04-29,4,2021,Thursday,April
Italy,Moderna,1452043,0,2021-04-29,4,2021,Thursday,April
Italy,Oxford/AstraZeneca,4227334,0,2021-04-29,4,2021,Thursday,April
Italy,Pfizer/BioNTech,13809382,0,2021-04-29,4,2021,Thursday,April
Italy,Johnson&Johnson,61820,0,2021-04-30,4,2021,Friday,April
Italy,Moderna,1499911,0,2021-04-30,4,2021,Friday,April
Italy,Oxford/AstraZeneca,4312955,0,2021-04-30,4,2021,Friday,April
Italy,Pfizer/BioNTech,14186071,0,2021-04-30,4,2021,Friday,April
Italy,Johnson&Johnson,79613,0,2021-01-05,1,2021,Tuesday,January
Italy,Moderna,1542243,0,2021-01-05,1,2021,Tuesday,January
Italy,Oxford/AstraZeneca,4380680,0,2021-01-05,1,2021,Tuesday,January
Italy,Pfizer/BioNTech,14490259,0,2021-01-05,1,2021,Tuesday,January
Italy,Johnson&Johnson,91058,0,2021-02-05,2,2021,Friday,February
Italy,Moderna,1572970,0,2021-02-05,2,2021,Friday,February
Italy,Oxford/AstraZeneca,4445194,0,2021-02-05,2,2021,Friday,February
Italy,Pfizer/BioNTech,14752631,0,2021-02-05,2,2021,Friday,February
Italy,Johnson&Johnson,102090,0,2021-03-05,3,2021,Friday,March
Italy,Moderna,1613184,0,2021-03-05,3,2021,Friday,March
Italy,Oxford/AstraZeneca,4536932,0,2021-03-05,3,2021,Friday,March
Italy,Pfizer/BioNTech,15019876,0,2021-03-05,3,2021,Friday,March
Italy,Johnson&Johnson,113380,0,2021-04-05,4,2021,Monday,April
Italy,Moderna,1672362,0,2021-04-05,4,2021,Monday,April
Italy,Oxford/AstraZeneca,4652456,0,2021-04-05,4,2021,Monday,April
Italy,Pfizer/BioNTech,15279681,0,2021-04-05,4,2021,Monday,April
Italy,Johnson&Johnson,126799,0,2021-05-05,5,2021,Wednesday,May
Italy,Moderna,1726781,0,2021-05-05,5,2021,Wednesday,May
Italy,Oxford/AstraZeneca,4776613,0,2021-05-05,5,2021,Wednesday,May
Italy,Pfizer/BioNTech,15567233,0,2021-05-05,5,2021,Wednesday,May
Italy,Johnson&Johnson,139289,0,2021-06-05,6,2021,Saturday,June
Italy,Moderna,1773612,0,2021-06-05,6,2021,Saturday,June
Italy,Oxford/AstraZeneca,4887605,0,2021-06-05,6,2021,Saturday,June
Italy,Pfizer/BioNTech,15912758,0,2021-06-05,6,2021,Saturday,June
Italy,Johnson&Johnson,151108,0,2021-07-05,7,2021,Monday,July
Italy,Moderna,1825622,0,2021-07-05,7,2021,Monday,July
Italy,Oxford/AstraZeneca,4992042,0,2021-07-05,7,2021,Monday,July
Italy,Pfizer/BioNTech,16283850,0,2021-07-05,7,2021,Monday,July
Italy,Johnson&Johnson,166850,0,2021-08-05,8,2021,Thursday,August
Italy,Moderna,1885174,0,2021-08-05,8,2021,Thursday,August
Italy,Oxford/AstraZeneca,5095735,0,2021-08-05,8,2021,Thursday,August
Italy,Pfizer/BioNTech,16613484,0,2021-08-05,8,2021,Thursday,August
Italy,Johnson&Johnson,174421,0,2021-09-05,9,2021,Sunday,September
Italy,Moderna,1917671,0,2021-09-05,9,2021,Sunday,September
Italy,Oxford/AstraZeneca,5186609,0,2021-09-05,9,2021,Sunday,September
Italy,Pfizer/BioNTech,16863175,0,2021-09-05,9,2021,Sunday,September
Italy,Johnson&Johnson,182126,0,2021-10-05,10,2021,Tuesday,October
Italy,Moderna,1959251,0,2021-10-05,10,2021,Tuesday,October
Italy,Oxford/AstraZeneca,5294008,0,2021-10-05,10,2021,Tuesday,October
Italy,Pfizer/BioNTech,17143601,0,2021-10-05,10,2021,Tuesday,October
Italy,Johnson&Johnson,191315,0,2021-11-05,11,2021,Friday,November
Italy,Moderna,2024133,0,2021-11-05,11,2021,Friday,November
Italy,Oxford/AstraZeneca,5396182,0,2021-11-05,11,2021,Friday,November
Italy,Pfizer/BioNTech,17420259,0,2021-11-05,11,2021,Friday,November
Italy,Johnson&Johnson,199015,0,2021-12-05,12,2021,Sunday,December
Italy,Moderna,2084448,0,2021-12-05,12,2021,Sunday,December
Italy,Oxford/AstraZeneca,5495956,0,2021-12-05,12,2021,Sunday,December
Italy,Pfizer/BioNTech,17730869,0,2021-12-05,12,2021,Sunday,December
Italy,Johnson&Johnson,206852,0,2021-05-13,5,2021,Thursday,May
Italy,Moderna,2131414,0,2021-05-13,5,2021,Thursday,May
Italy,Oxford/AstraZeneca,5587132,0,2021-05-13,5,2021,Thursday,May
Italy,Pfizer/BioNTech,18108165,0,2021-05-13,5,2021,Thursday,May
Italy,Johnson&Johnson,214344,0,2021-05-14,5,2021,Friday,May
Italy,Moderna,2180245,0,2021-05-14,5,2021,Friday,May
Italy,Oxford/AstraZeneca,5682996,0,2021-05-14,5,2021,Friday,May
Italy,Pfizer/BioNTech,18502921,0,2021-05-14,5,2021,Friday,May
Italy,Johnson&Johnson,232044,0,2021-05-15,5,2021,Saturday,May
Italy,Moderna,2234113,0,2021-05-15,5,2021,Saturday,May
Italy,Oxford/AstraZeneca,5778181,0,2021-05-15,5,2021,Saturday,May
Italy,Pfizer/BioNTech,18875864,0,2021-05-15,5,2021,Saturday,May
Italy,Johnson&Johnson,248130,0,2021-05-16,5,2021,Sunday,May
Italy,Moderna,2268811,0,2021-05-16,5,2021,Sunday,May
Italy,Oxford/AstraZeneca,5856964,0,2021-05-16,5,2021,Sunday,May
Italy,Pfizer/BioNTech,19153784,0,2021-05-16,5,2021,Sunday,May
Italy,Johnson&Johnson,264713,0,2021-05-17,5,2021,Monday,May
Italy,Moderna,2313435,0,2021-05-17,5,2021,Monday,May
Italy,Oxford/AstraZeneca,5935752,0,2021-05-17,5,2021,Monday,May
Italy,Pfizer/BioNTech,19473804,0,2021-05-17,5,2021,Monday,May
Italy,Johnson&Johnson,282313,0,2021-05-18,5,2021,Tuesday,May
Italy,Moderna,2364722,0,2021-05-18,5,2021,Tuesday,May
Italy,Oxford/AstraZeneca,6030995,0,2021-05-18,5,2021,Tuesday,May
Italy,Pfizer/BioNTech,19770787,0,2021-05-18,5,2021,Tuesday,May
Italy,Johnson&Johnson,300203,0,2021-05-19,5,2021,Wednesday,May
Italy,Moderna,2418506,0,2021-05-19,5,2021,Wednesday,May
Italy,Oxford/AstraZeneca,6129093,0,2021-05-19,5,2021,Wednesday,May
Italy,Pfizer/BioNTech,20077287,0,2021-05-19,5,2021,Wednesday,May
Italy,Johnson&Johnson,319374,0,2021-05-20,5,2021,Thursday,May
Italy,Moderna,2456462,0,2021-05-20,5,2021,Thursday,May
Italy,Oxford/AstraZeneca,6215405,0,2021-05-20,5,2021,Thursday,May
Italy,Pfizer/BioNTech,20470081,0,2021-05-20,5,2021,Thursday,May
Italy,Johnson&Johnson,336984,0,2021-05-21,5,2021,Friday,May
Italy,Moderna,2497604,0,2021-05-21,5,2021,Friday,May
Italy,Oxford/AstraZeneca,6305995,0,2021-05-21,5,2021,Friday,May
Italy,Pfizer/BioNTech,20863745,0,2021-05-21,5,2021,Friday,May
Italy,Johnson&Johnson,373961,0,2021-05-22,5,2021,Saturday,May
Italy,Moderna,2560763,0,2021-05-22,5,2021,Saturday,May
Italy,Oxford/AstraZeneca,6389902,0,2021-05-22,5,2021,Saturday,May
Italy,Pfizer/BioNTech,21184056,0,2021-05-22,5,2021,Saturday,May
Italy,Johnson&Johnson,407343,407343,2021-05-23,5,2021,Sunday,May
Italy,Moderna,2612859,2612859,2021-05-23,5,2021,Sunday,May
Italy,Oxford/AstraZeneca,6447175,6447175,2021-05-23,5,2021,Sunday,May
Italy,Pfizer/BioNTech,21433008,21433008,2021-05-23,5,2021,Sunday,May
Latvia,Pfizer/BioNTech,593,0,2020-12-28,12,2020,Monday,December
Latvia,Pfizer/BioNTech,1466,0,2020-12-29,12,2020,Tuesday,December
Latvia,Pfizer/BioNTech,2259,0,2020-12-30,12,2020,Wednesday,December
Latvia,Pfizer/BioNTech,2958,0,2021-04-01,4,2021,Thursday,April
Latvia,Pfizer/BioNTech,3847,0,2021-05-01,5,2021,Saturday,May
Latvia,Pfizer/BioNTech,4623,0,2021-06-01,6,2021,Tuesday,June
Latvia,Pfizer/BioNTech,5433,0,2021-07-01,7,2021,Thursday,July
Latvia,Pfizer/BioNTech,6340,0,2021-08-01,8,2021,Sunday,August
Latvia,Pfizer/BioNTech,6645,0,2021-09-01,9,2021,Wednesday,September
Latvia,Pfizer/BioNTech,6981,0,2021-10-01,10,2021,Friday,October
Latvia,Pfizer/BioNTech,8348,0,2021-11-01,11,2021,Monday,November
Latvia,Pfizer/BioNTech,9975,0,2021-12-01,12,2021,Wednesday,December
Latvia,Moderna,130,0,2021-01-13,1,2021,Wednesday,January
Latvia,Pfizer/BioNTech,11357,0,2021-01-13,1,2021,Wednesday,January
Latvia,Moderna,553,0,2021-01-14,1,2021,Thursday,January
Latvia,Pfizer/BioNTech,12758,0,2021-01-14,1,2021,Thursday,January
Latvia,Moderna,914,0,2021-01-15,1,2021,Friday,January
Latvia,Pfizer/BioNTech,14271,0,2021-01-15,1,2021,Friday,January
Latvia,Moderna,944,0,2021-01-16,1,2021,Saturday,January
Latvia,Pfizer/BioNTech,14909,0,2021-01-16,1,2021,Saturday,January
Latvia,Pfizer/BioNTech,15026,0,2021-01-17,1,2021,Sunday,January
Latvia,Moderna,1088,0,2021-01-18,1,2021,Monday,January
Latvia,Pfizer/BioNTech,15730,0,2021-01-18,1,2021,Monday,January
Latvia,Moderna,1149,0,2021-01-19,1,2021,Tuesday,January
Latvia,Pfizer/BioNTech,16546,0,2021-01-19,1,2021,Tuesday,January
